method,scenario_file,source_file,runs,mean_error,std_error,mean_time,std_time
GrGSL,"House16_1,2-4,5,6_slow","results\GrGSL\House16_1,2-4,5,6_slow.csv",5,2.6010428,0.543461136878434,99.50873299999999,6.3618182146342
GrGSL,"House16_3,4,5-2_fast","results\GrGSL\House16_3,4,5-2_fast.csv",5,1.9592782,0.1953063288803003,77.743139,2.091635386462233
GrGSL,"House16_3,4,5-2_slow","results\GrGSL\House16_3,4,5-2_slow.csv",5,1.9215214,0.44876125871815176,79.5958734,1.4832108038181213
GrGSL,"House17_3,6-1_fast","results\GrGSL\House17_3,6-1_fast.csv",5,2.0112396,0.1554687082914116,98.2076054,8.861578072150738
GrGSL,"House17_3,6-1_slow","results\GrGSL\House17_3,6-1_slow.csv",5,1.518234,0.2716556696196492,95.4935376,5.612525987862534
GrGSL,"House17_4,6-1,2_fast","results\GrGSL\House17_4,6-1,2_fast.csv",5,0.9350702,0.05617481697967515,78.42755100000001,2.1035498690949797
GrGSL,"House17_4,6-1,2_slow","results\GrGSL\House17_4,6-1,2_slow.csv",5,1.670423,0.3076397164923605,105.9920746,7.4595840497698855
GrGSL,"House18_1,2-4,5_fast","results\GrGSL\House18_1,2-4,5_fast.csv",5,1.1233866,0.1061559740349077,105.7620744,9.738061524949195
GrGSL,"House18_1,2-4,5_slow","results\GrGSL\House18_1,2-4,5_slow.csv",5,1.1126372,0.15013301751513558,121.00501360000001,5.523806248135141
GrGSL,"House18_5,3-1_fast","results\GrGSL\House18_5,3-1_fast.csv",5,0.9308072,0.04702086047915333,103.79755479999999,9.613311525247047
GrGSL,"House18_5,3-1_slow","results\GrGSL\House18_5,3-1_slow.csv",5,1.1243304,0.14340413501639343,128.33117339999998,5.075322551615596
GrGSL,"House19_2,4-1,5_fast","results\GrGSL\House19_2,4-1,5_fast.csv",5,0.9223621999999999,0.06504994039735933,128.7179132,6.38361737499446
GrGSL,"House19_2,4-1,5_slow","results\GrGSL\House19_2,4-1,5_slow.csv",5,1.1117918,0.12045572403252573,145.5522732,5.9033313336521855
GrGSL,"House19_4,5-1_fast","results\GrGSL\House19_4,5-1_fast.csv",5,0.8395552000000001,0.04048182438082554,95.2373558,8.769681161649618
GrGSL,"House19_4,5-1_slow","results\GrGSL\House19_4,5-1_slow.csv",5,0.918004,0.030911651023521836,126.34935619999999,7.0090270777755705
GrGSL,"House20_2-1,4_fast","results\GrGSL\House20_2-1,4_fast.csv",5,0.8820302,0.057714848086952465,96.36076779999999,8.286919543074326
GrGSL,"House20_2-1,4_slow","results\GrGSL\House20_2-1,4_slow.csv",5,0.8585,0.03734174606924536,114.32602139999999,8.361479177064986
GrGSL,House20_4-1_fast,results\GrGSL\House20_4-1_fast.csv,5,0.818617,0.05747239736604,110.1529526,8.996347931683571
GrGSL,House20_4-1_slow,results\GrGSL\House20_4-1_slow.csv,5,1.193171,0.18401628982375445,146.1462618,4.888552093559168
GrGSL,"House21_1,2,5-9,10_fast","results\GrGSL\House21_1,2,5-9,10_fast.csv",5,0.8830978,0.06274010924998456,91.8831352,3.5441777599300375
GrGSL,"House21_1,2,5-9,10_slow","results\GrGSL\House21_1,2,5-9,10_slow.csv",5,1.3420398,0.17326727943902157,125.32211199999999,9.153075890536604
GrGSL,"House21_6,8-1,2_fast","results\GrGSL\House21_6,8-1,2_fast.csv",5,1.1432384,0.17348409587711494,104.5461808,8.892160912853901
GrGSL,"House21_6,8-1,2_slow","results\GrGSL\House21_6,8-1,2_slow.csv",5,0.9507635999999999,0.024621462066660455,112.69035920000002,9.885177987666873
GrGSL,House22_2-5_fast,results\GrGSL\House22_2-5_fast.csv,5,1.3792678,0.21042137864936633,93.0320696,4.972961452913072
GrGSL,House22_2-5_slow,results\GrGSL\House22_2-5_slow.csv,5,1.6502838,0.3002416688464477,98.20484739999999,4.945725884944778
GrGSL,House22_6-1_fast,results\GrGSL\House22_6-1_fast.csv,5,1.3819766000000002,0.34577632519636153,84.3196398,3.310447097396917
GrGSL,House22_6-1_slow,results\GrGSL\House22_6-1_slow.csv,5,1.4646598000000002,0.15769675653195914,106.05736759999999,10.307794917484282
GrGSL,"House23_13,14-5,6,10_fast","results\GrGSL\House23_13,14-5,6,10_fast.csv",5,2.3463816,0.42327833652609725,90.15383940000001,3.315748517856381
GrGSL,"House23_13,14-5,6,10_slow","results\GrGSL\House23_13,14-5,6,10_slow.csv",5,2.733589,0.29907463444180626,92.7807726,7.069315091056579
GrGSL,"House23_15-6,10_fast","results\GrGSL\House23_15-6,10_fast.csv",5,1.1610488,0.19764173984181582,74.43729019999999,0.7813785478893686
GrGSL,"House23_15-6,10_slow","results\GrGSL\House23_15-6,10_slow.csv",5,1.9448817999999999,0.2914072239387692,92.565483,7.540300458938785
GrGSL,"House24_2,4-1_fast","results\GrGSL\House24_2,4-1_fast.csv",5,1.9446084,0.2330011045731329,78.86212259999999,2.2685086416025193
GrGSL,"House24_2,4-1_slow","results\GrGSL\House24_2,4-1_slow.csv",5,3.3203676,0.5652892849986633,90.83923139999999,5.012216715180149
GrGSL,House24_2-1_fast,results\GrGSL\House24_2-1_fast.csv,5,1.4217774,0.34117492876206484,74.102413,0.43171552996446455
GrGSL,House24_2-1_slow,results\GrGSL\House24_2-1_slow.csv,5,1.7098929999999999,0.28191600420071933,81.99378859999999,3.728172284274871
GrGSL,"House25_2,7-3_fast","results\GrGSL\House25_2,7-3_fast.csv",5,1.6622873999999999,0.33582125309500593,79.4981856,2.097404403035885
GrGSL,"House25_2,7-3_slow","results\GrGSL\House25_2,7-3_slow.csv",5,1.6210678,0.36408303396780245,88.7910648,6.35732623919299
GrGSL,"House25_3,4-1,7_fast","results\GrGSL\House25_3,4-1,7_fast.csv",5,1.519276,0.19920339323791653,77.63960019999999,1.7368731976838996
GrGSL,"House25_3,4-1,7_slow","results\GrGSL\House25_3,4-1,7_slow.csv",5,2.4418800000000003,0.32748061124744465,87.0120604,5.971945013599324
GrGSL,"House26_4,5-1,3_fast","results\GrGSL\House26_4,5-1,3_fast.csv",5,1.7100107999999998,0.14073846716942742,88.9186692,5.333354470922989
GrGSL,"House26_4,5-1,3_slow","results\GrGSL\House26_4,5-1,3_slow.csv",5,1.4289054,0.2817998703429439,86.10007279999999,3.559794813198606
GrGSL,"House26_5,6-3_fast","results\GrGSL\House26_5,6-3_fast.csv",5,1.206322,0.18675370534878286,83.0136666,1.485471669862065
GrGSL,"House26_5,6-3_slow","results\GrGSL\House26_5,6-3_slow.csv",5,1.9466176000000002,0.43911547500606257,114.14289839999999,9.140923853750358
GrGSL,"House27_3,4-9_fast","results\GrGSL\House27_3,4-9_fast.csv",5,0.892071,0.03552577456579943,80.5948238,2.9120458684349697
GrGSL,"House27_3,4-9_slow","results\GrGSL\House27_3,4-9_slow.csv",5,1.6144258,0.3766236659335151,129.300096,6.9477427037555195
GrGSL,"House27_7,8,9-1,2,3,4_fast","results\GrGSL\House27_7,8,9-1,2,3,4_fast.csv",5,1.6095922000000003,0.20851430302547597,107.40207720000001,8.652378938211454
GrGSL,"House27_7,8,9-1,2,3,4_slow","results\GrGSL\House27_7,8,9-1,2,3,4_slow.csv",5,1.343844,0.19185228310082728,103.169463,8.95575198900349
GrGSL,"House28_5,7-2,3_fast","results\GrGSL\House28_5,7-2,3_fast.csv",5,1.2061258000000001,0.14280199138912597,92.85621760000001,7.11864599916103
GrGSL,"House28_5,7-2,3_slow","results\GrGSL\House28_5,7-2,3_slow.csv",5,1.5829346000000002,0.378361789071386,115.4617944,7.164347417147692
GrGSL,"House28_8-1,3_fast","results\GrGSL\House28_8-1,3_fast.csv",5,0.9132672,0.04021157448670721,83.71528079999999,2.5012107628212195
GrGSL,"House28_8-1,3_slow","results\GrGSL\House28_8-1,3_slow.csv",5,1.2276175999999999,0.2421875539975166,114.5541656,5.456093842534127
GrGSL,House29_1-3_fast,results\GrGSL\House29_1-3_fast.csv,5,1.1268964000000001,0.10554801649154752,90.9664058,6.468968594337407
GrGSL,House29_1-3_slow,results\GrGSL\House29_1-3_slow.csv,5,1.4201070000000002,0.3076393841578155,106.2294876,4.824817031335983
GrGSL,House29_3-1_fast,results\GrGSL\House29_3-1_fast.csv,5,1.1485482,0.1616069375265184,81.2281402,3.143802546905213
GrGSL,House29_3-1_slow,results\GrGSL\House29_3-1_slow.csv,5,1.3704706,0.1817548111874896,97.330749,6.785927266015417
GrGSL,"House30_1,8-5_fast","results\GrGSL\House30_1,8-5_fast.csv",5,1.512705,0.33732505472392643,82.4647038,3.0138392919699153
GrGSL,"House30_1,8-5_slow","results\GrGSL\House30_1,8-5_slow.csv",5,3.0094254,0.5028558020221106,106.1163008,4.380200718853038
GrGSL,"House30_7,8-3,4_fast","results\GrGSL\House30_7,8-3,4_fast.csv",5,1.9572742,0.3681718190175614,78.8105018,2.729501874524673
GrGSL,"House30_7,8-3,4_slow","results\GrGSL\House30_7,8-3,4_slow.csv",5,1.3509098,0.2784452600471052,78.9256218,2.2699212454143027
PMFS,"House01_1,3-2,4_fast","results\PMFS\House01_1,3-2,4_fast.csv",5,3.0583632,0.645213874107803,91.11711840000001,2.5017831672463764
PMFS,"House01_1,3-2,4_slow","results\PMFS\House01_1,3-2,4_slow.csv",5,0.5343180000000001,0.023348788405396968,75.3728306,0.5370769062827973
PMFS,"House01_2,4-1_fast","results\PMFS\House01_2,4-1_fast.csv",5,0.48416519999999996,0.03948537715661331,80.2470384,1.7847334739910843
PMFS,"House01_2,4-1_slow","results\PMFS\House01_2,4-1_slow.csv",5,0.6652962,0.03178256836223278,74.6965592,0.4271601009934104
PMFS,"House02_3,5-1_fast","results\PMFS\House02_3,5-1_fast.csv",5,0.46308340000000003,0.041566619748302835,102.44566340000002,5.781095229736428
PMFS,"House02_3,5-1_slow","results\PMFS\House02_3,5-1_slow.csv",5,0.43038220000000005,0.014691885794546606,76.0797784,0.6910119257413737
PMFS,"House02_4,5-3_fast","results\PMFS\House02_4,5-3_fast.csv",5,0.5068566,0.026060471154604987,75.6529576,0.43693029830088537
PMFS,"House02_4,5-3_slow","results\PMFS\House02_4,5-3_slow.csv",5,0.510491,0.035075369228277545,75.3312606,0.3728098661983061
PMFS,"House03_1-2,5_fast","results\PMFS\House03_1-2,5_fast.csv",5,0.5281064,0.034158785228693374,94.500329,3.8624745439489963
PMFS,"House03_1-2,5_slow","results\PMFS\House03_1-2,5_slow.csv",5,3.1413298000000003,0.3380860905903998,105.28602680000002,9.622904318859959
PMFS,House03_5-3_fast,results\PMFS\House03_5-3_fast.csv,5,0.43959960000000003,0.028941192033155795,124.75719159999998,5.564705087886447
PMFS,House03_5-3_slow,results\PMFS\House03_5-3_slow.csv,5,0.4495838,0.02731643623718146,177.9902778,33.09868999864494
PMFS,"House04_5,7-1,2_fast","results\PMFS\House04_5,7-1,2_fast.csv",5,0.4989592,0.0174152053878213,180.907109,20.036342181590015
PMFS,"House04_5,7-1,2_slow","results\PMFS\House04_5,7-1,2_slow.csv",5,1.0745604,0.2215155784144763,103.586871,6.687833924851863
PMFS,"House04_7-3,8_fast","results\PMFS\House04_7-3,8_fast.csv",5,0.454328,0.034476223052996996,74.438648,0.16935627835719536
PMFS,"House04_7-3,8_slow","results\PMFS\House04_7-3,8_slow.csv",5,0.4614216,0.03250111017026956,75.18654480000001,0.5203816817660841
PMFS,"House05_4,8-5_fast","results\PMFS\House05_4,8-5_fast.csv",5,0.5135726,0.027416246265672496,83.5851508,2.576461133142068
PMFS,"House05_4,8-5_slow","results\PMFS\House05_4,8-5_slow.csv",5,0.5006028,0.028401883118906054,74.8342788,0.5133208483952322
PMFS,"House05_7-1,2_fast","results\PMFS\House05_7-1,2_fast.csv",5,0.4459018,0.025894464286793043,125.02649120000001,4.928328813018335
PMFS,"House05_7-1,2_slow","results\PMFS\House05_7-1,2_slow.csv",5,0.44736760000000003,0.03323333501621527,75.1937604,0.4931639061537243
PMFS,"House06_1,2-5_fast","results\PMFS\House06_1,2-5_fast.csv",5,0.9539802,0.1665500942830715,76.4534444,0.29408735405199027
PMFS,"House06_1,2-5_slow","results\PMFS\House06_1,2-5_slow.csv",5,1.9563636,0.3628180995296403,88.43597159999999,3.113660856917917
PMFS,"House06_1-4,5_fast","results\PMFS\House06_1-4,5_fast.csv",5,1.9930284,0.1700085795549742,80.9002702,2.275247486281701
PMFS,"House06_1-4,5_slow","results\PMFS\House06_1-4,5_slow.csv",5,1.5669663999999999,0.291619514827626,79.1769562,1.417824394682466
PMFS,"House07_1,3-5_fast","results\PMFS\House07_1,3-5_fast.csv",5,0.4250318,0.013787985175506967,82.026084,2.6811385794378486
PMFS,"House07_1,3-5_slow","results\PMFS\House07_1,3-5_slow.csv",5,0.491251,0.04428131410087104,84.82867060000001,2.289232115034932
PMFS,House07_6-1_fast,results\PMFS\House07_6-1_fast.csv,5,0.514618,0.026919188713629534,89.3308182,4.084028917565677
PMFS,House07_6-1_slow,results\PMFS\House07_6-1_slow.csv,5,1.8826594,0.2310274424528393,81.0740848,2.452530232280063
PMFS,"House08_1,3-7_fast","results\PMFS\House08_1,3-7_fast.csv",5,0.4478974,0.028420431968919836,166.33525500000002,14.407836230124946
PMFS,"House08_1,3-7_slow","results\PMFS\House08_1,3-7_slow.csv",5,0.715087,0.10204643082195478,134.3154796,2.039130087056439
PMFS,"House08_8,7-6_fast","results\PMFS\House08_8,7-6_fast.csv",5,0.5026666,0.03221222512183844,112.5815918,10.597032107300363
PMFS,"House08_8,7-6_slow","results\PMFS\House08_8,7-6_slow.csv",5,0.4606384,0.0365687712098725,101.58049600000001,6.22788397476667
PMFS,"House09_6-2,5_fast","results\PMFS\House09_6-2,5_fast.csv",5,0.5058796,0.03683208681027999,148.83688999999998,8.180522423785016
PMFS,"House09_6-2,5_slow","results\PMFS\House09_6-2,5_slow.csv",5,0.45069499999999996,0.021171326068529575,75.4740942,0.5304822746602379
PMFS,"House09_6-7,3_fast","results\PMFS\House09_6-7,3_fast.csv",5,0.4449382,0.020121975268347792,155.82839719999998,12.326593961399704
PMFS,"House09_6-7,3_slow","results\PMFS\House09_6-7,3_slow.csv",5,0.48541999999999996,0.03643967525239488,76.04819219999999,0.24922348104602932
PMFS,"House10_1-3,2_fast","results\PMFS\House10_1-3,2_fast.csv",5,1.0246933999999999,0.2295344134923999,90.6463324,4.961358637747863
PMFS,"House10_1-3,2_slow","results\PMFS\House10_1-3,2_slow.csv",5,0.7026904,0.08664567103900807,90.2437898,4.0364920347104825
PMFS,"House10_2,3-1_fast","results\PMFS\House10_2,3-1_fast.csv",5,0.4402888,0.0319406465291484,134.34576520000002,4.8729721481995645
PMFS,"House10_2,3-1_slow","results\PMFS\House10_2,3-1_slow.csv",5,1.4682955999999998,0.20438795066074716,123.62433539999999,5.298277285628252
PMFS,"House11_1-2,3_fast","results\PMFS\House11_1-2,3_fast.csv",5,0.6002614000000001,0.025428636009428397,84.558506,3.4960013583529967
PMFS,"House11_1-2,3_slow","results\PMFS\House11_1-2,3_slow.csv",5,1.1030184,0.1713941178944015,114.64623859999999,4.495564747424543
PMFS,House11_3-2_fast,results\PMFS\House11_3-2_fast.csv,5,0.8094809999999999,0.1500460390396894,89.9968644,2.94052301351559
PMFS,House11_3-2_slow,results\PMFS\House11_3-2_slow.csv,5,0.7834606,0.08904738868321743,107.2529848,9.1824651365286
PMFS,"House12_4,6-1_fast","results\PMFS\House12_4,6-1_fast.csv",5,0.7930786,0.13636997574722962,90.0875536,3.4838148435843737
PMFS,"House12_4,6-1_slow","results\PMFS\House12_4,6-1_slow.csv",5,1.0096664,0.10453177043033375,96.5883774,6.135485628475574
PMFS,"House12_6,7-1_fast","results\PMFS\House12_6,7-1_fast.csv",5,0.690238,0.0872064724318098,79.6443332,1.6171764538507258
PMFS,"House12_6,7-1_slow","results\PMFS\House12_6,7-1_slow.csv",5,0.9912027999999999,0.17556984488857988,102.6006862,7.124077429726054
PMFS,"House13_1,3-6_fast","results\PMFS\House13_1,3-6_fast.csv",5,1.3281554,0.21682956104346107,89.0080524,3.945323848335936
PMFS,"House13_1,3-6_slow","results\PMFS\House13_1,3-6_slow.csv",5,1.5954128,0.1606433754164796,92.0092998,4.954317594502317
PMFS,"House13_2,3-4,6_fast","results\PMFS\House13_2,3-4,6_fast.csv",5,0.793851,0.133562745222985,77.277343,0.2842691317923902
PMFS,"House13_2,3-4,6_slow","results\PMFS\House13_2,3-4,6_slow.csv",5,0.8729464,0.14347899461872454,85.9359728,4.122974876172266
PMFS,"House14_1,2-4,5_fast","results\PMFS\House14_1,2-4,5_fast.csv",5,1.3019615999999998,0.25107024760273766,77.8768832,0.6711037431080966
PMFS,"House14_1,2-4,5_slow","results\PMFS\House14_1,2-4,5_slow.csv",5,1.1074336,0.26640223353662035,81.03975419999999,2.162021114901102
PMFS,"House14_3,4-2,6_fast","results\PMFS\House14_3,4-2,6_fast.csv",5,1.3282124,0.28863173217925986,80.2235982,1.555823235012642
PMFS,"House14_3,4-2,6_slow","results\PMFS\House14_3,4-2,6_slow.csv",5,2.3423306,0.14421708255023055,91.2378792,6.186914886365514
PMFS,"House15_1,2-3,4_fast","results\PMFS\House15_1,2-3,4_fast.csv",5,1.2046728,0.24612075307498962,77.4347662,0.5640072718482447
PMFS,"House15_1,2-3,4_slow","results\PMFS\House15_1,2-3,4_slow.csv",5,1.6442900000000003,0.2683666484354939,87.6043904,4.2671117603211215
PMFS,"House15_3-1,2_fast","results\PMFS\House15_3-1,2_fast.csv",5,1.2206784000000002,0.1966956984031425,77.3132952,0.8156913331829044
PMFS,"House15_3-1,2_slow","results\PMFS\House15_3-1,2_slow.csv",5,1.9927214,0.2778589213239337,83.43006679999999,3.244823524690627
PMFS,"House16_1,2-4,5,6_fast","results\PMFS\House16_1,2-4,5,6_fast.csv",5,0.7575102,0.06405564285603571,77.0769252,0.44743878503846723
PMFS,"House16_1,2-4,5,6_slow","results\PMFS\House16_1,2-4,5,6_slow.csv",5,1.6942072,0.3317455978030454,97.2444334,4.535302668390976
PMFS,"House16_3,4,5-2_fast","results\PMFS\House16_3,4,5-2_fast.csv",5,1.305521,0.2468663182665873,82.04485059999999,1.7104037692371925
PMFS,"House16_3,4,5-2_slow","results\PMFS\House16_3,4,5-2_slow.csv",5,1.2264637999999999,0.18197613425721518,81.8270642,3.1900732833754324
PMFS,"House17_3,6-1_fast","results\PMFS\House17_3,6-1_fast.csv",5,1.1804644,0.17977099854481537,96.4726222,5.55971916624169
PMFS,"House17_3,6-1_slow","results\PMFS\House17_3,6-1_slow.csv",5,1.0354698,0.2597083324475747,92.5610686,5.641191151918738
